Year,Month,Tavg,Tmin,Tmax,Precipitation
2019,JANUARY,26.4,18.6,35.8,10
2019,FEBRUARY,25.9,19.2,33.9,7
2019,MARCH,25.3,19.3,33.7,34
2019,APRIL,21.7,16.1,28.9,0
2019,MAY,20.6,13.9,27.9,2
2019,JUNE,16.8,10.9,24,0
2019,JULY,17.1,9.7,25.7,0.5
2019,AUGUST,19.2,13.2,26,0
2019,SEPTEMBER,21.4,13.8,29.6,0
2019,OCTOBER,24.9,18.3,33,3
2019,NOVEMBER,26.8,20,34.7,10
2019,DECEMBER,23.9,18.4,31.1,64
2020,JANUARY,25.4,19.5,33.6,15
2020,FEBRUARY,23.6,18.4,31.8,80
2020,MARCH,22.2,16.4,29.5,44
2020,APRIL,20.6,14,28.6,62
2020,MAY,18.4,12.4,25.3,1.2
2020,JUNE,14.5,7.4,22.9,0
2020,JULY,14.6,7.4,23.5,0
2020,AUGUST,16.6,9.1,25.5,1
2020,SEPTEMBER,21.9,15,28.9,3
2020,OCTOBER,25.4,18,33.4,3
2020,NOVEMBER,25.1,18,32.5,0.5
2020,DECEMBER,25.9,19.6,32.5,51.6
2021,JANUARY,21.7,17.5,29,282
2021,FEBRUARY,22.9,18,28.9,25.2
2021,MARCH,22.1,15.7,30.4,19
2021,APRIL,20.1,14.7,27,6
2021,MAY,17.4,11.9,24.6,14
2021,JUNE,15,8.2,23.1,0
2021,JULY,14.3,6.9,23,0
2021,AUGUST,17.2,9.5,26.3,0
2021,SEPTEMBER,22.4,14.3,31.2,0
2021,OCTOBER,22.2,13.5,30.6,16
2021,NOVEMBER,24.6,15.7,33.5,8
2021,DECEMBER,23.9,15.4,31.9,17
2022,JANUARY,24.1,17.4,32.4,128
2022,FEBRUARY,21.8,16.6,28.7,149
2022,MARCH,21.2,15.3,28.4,63
2022,APRIL,20.2,12.8,28.5,1
2022,MAY,17.3,10.1,25.7,0
2022,JUNE,13,6,21.5,0
2022,JULY,15.6,9,23.7,0
2022,AUGUST,17.9,10.1,27.1,0
2022,SEPTEMBER,22.3,14.7,30.6,0
2022,OCTOBER,25.4,18.1,33.4,60
2022,NOVEMBER,23.8,16.1,32.2,15
2022,DECEMBER,24.3,16.8,33.1,168
2023,JANUARY,23.4,17.4,31.2,91
2023,FEBRUARY,23.6,16.4,32.3,53
2023,MARCH,24.1,16.5,32.7,3
2023,APRIL,22,15.8,29.7,64
2023,MAY,18.8,12.1,26.5,16
2023,JUNE,15.7,8.4,24.2,0
2023,JULY,14.8,8,22.7,0
2023,AUGUST,18.4,11,26.6,0
2023,SEPTEMBER,21.6,13.4,30.4,0
2023,OCTOBER,26.3,18.5,34.4,0
2023,NOVEMBER,25.5,18.7,33.9,24
2023,DECEMBER,25.6,18.1,33.7,32
