Month,Consumption,,,,,,
January-19,1928232,,,,,,
February-19,1862893,,,,,,
March-19,1878713,,,,,,
April-19,1781076,,,,,,
May-19,1648307,,,,,,
June-19,1511654,,,,,,
July-19,1441617,,,,,,
August-19,1519966,,,,,,
September-19,1502911,,,,,,
October-19,1380969,,,,,,
November-19,1263963,,,,,,
December-19,1513222,,,,,,
January-20,2077255,,,,,,
February-20,1949520,,,,,,
March-20,1628787,,,,,,
April-20,1545151,,,,,,
May-20,1518693,,,,,,
June-20,1463565,,,,,,
July-20,1286681,,,,,,
August-20,1371082,,,,,,
September-20,1444645,,,,,,
October-20,1277521,,,,,,
November-20,1580363,,,,,,
December-20,1447703,,,,,,
January-21,1916859,,,,,,
February-21,1461796,,,,,,
March-21,1414018,,,,,,
April-21,1519652,,,,,,
May-21,1430054,,,,,,
June-21,1344183,,,,,,
July-21,1363153,,,,,,
August-21,1265854,,,,,,
September-21,1381048,,,,,,
October-21,1433843,,,,,,
November-21,1499560,,,,,,
December-21,1295852,,,,,,
January-22,1853253,,,,,,
February-22,1558049,,,,,,
March-22,1358286,,,,,,
April-22,1475188,,,,,,
May-22,1493506,,,,,,
June-22,1335631,,,,,,
July-22,1380187,,,,,,
August-22,1221615,,,,,,
September-22,1354282,,,,,,
October-22,1577655,,,,,,
November-22,1460858,,,,,,
December-22,1249365,,,,,,
January-23,1837829,,,,,,
February-23,1674789,,,,,,
March-23,1607829,,,,,,
April-23,1594595,,,,,,
May-23,1542192,,,,,,
June-23,1371175,,,,,,
July-23,1405660,,,,,,
August-23,1495858,,,,,,
September-23,1292673,,,,,,
October-23,1486272,,,,,,
November-23,1527446,,,,,,
December-23,1343294,,,,,,
