Month,2019,2020,2021,2022,2023,Total
JANUARY,1928232.103759614,2077254.989002936,1916859.459412678,1853252.803822772,1837828.515262368,9613427.871260367
FEBRUARY,1862892.638175189,1949519.968692727,1461795.947035081,1558049.328029497,1674789.355702813,8507047.237635307
MARCH,1878713.203254706,1628786.716311963,1414017.808542936,1358286.180807813,1607828.508480182,7887632.417397601
APRIL,1781076.156820905,1545150.825031321,1519651.543466868,1475188.273665639,1594595.304112938,7915662.103097671
MAY,1648306.972296781,1518693.130983194,1430054.425612411,1493506.009379153,1542192.358874718,7632752.897146258
JUNE,1511654.260391924,1463565.383364087,1344182.67561236,1335630.737950034,1371174.880303543,7026207.937621947
JULY,1441617.277058637,1286681.416703293,1363153.042278878,1380186.88794948,1405659.980303141,6877298.604293429
AUGUST,1519966.105631446,1371082.247655909,1265853.851803777,1221615.159378505,1495857.761255178,6874375.125724815
SEPTEMBER,1502911.098488423,1444645.125036335,1381048.460137378,1354281.804616998,1292673.041016937,6975559.529296071
OCTOBER,1380969.177853491,1277521.430194547,1433843.304184783,1577654.674061824,1486272.432683638,7156261.018978284
NOVEMBER,1263963.065948724,1580363.360353325,1499560.210930814,1460858.228427167,1527446.037048776,7332190.902708806
DECEMBER,1513221.940367907,1447703.406673615,1295852.270959866,1249364.91190427,1343293.824963928,6849436.354869586
TOTAL,19233524.000047747,18590968.000003252,17325872.99997783,17317874.999993157,18179612.00000816,90647852.00003015
